,Unnamed: 0,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10,lc2_pm10,lc2_pm25,lc3_pm10,lc3_pm25
0,0,2020-11-01 00:00:00,82.0,127.0,73,172,62.7,56.6,1999.9,999.9
1,1,2020-11-01 00:15:00,83.0,125.0,73,172,61.3,55.4,1999.9,999.9
2,2,2020-11-01 00:30:00,76.0,117.0,73,172,59.4,53.8,1999.9,999.9
3,3,2020-11-01 01:00:00,81.0,120.5,80,158,60.7,54.9,1999.9,999.9
4,4,2020-11-01 01:15:00,83.0,118.0,80,158,56.3,50.7,1999.9,999.9
5,5,2020-11-01 01:30:00,78.0,114.0,80,158,59.3,53.8,1999.9,964.0
6,6,2020-11-01 01:45:00,75.0,112.0,67,132,52.8,47.9,1999.9,999.9
7,7,2020-11-01 02:00:00,81.0,116.0,67,132,55.2,50.1,1999.9,999.9
8,8,2020-11-01 02:15:00,82.0,119.0,67,132,57.5,52.4,1999.9,938.4
9,9,2020-11-01 02:30:00,85.0,122.0,67,132,56.7,51.6,1999.9,999.9
10,10,2020-11-01 03:00:00,83.0,126.0,69,133,58.5,52.7,1999.9,999.9
11,11,2020-11-01 03:15:00,75.0,123.0,69,133,57.6,52.1,1999.9,999.9
12,12,2020-11-01 03:30:00,79.0,122.0,69,133,58.7,53.0,1999.9,999.9
13,13,2020-11-01 03:45:00,82.0,123.0,71,152,57.0,51.3,1999.9,999.9
14,14,2020-11-01 04:00:00,81.0,121.0,71,152,55.6,50.2,1999.9,999.9
15,15,2020-11-01 04:15:00,83.0,122.0,71,152,58.1,52.8,1999.9,999.9
16,16,2020-11-01 04:30:00,86.0,125.0,71,152,61.3,55.5,1999.9,941.9
17,17,2020-11-01 04:45:00,91.0,130.0,75,133,69.7,63.3,1999.9,999.9
18,18,2020-11-01 05:00:00,92.0,131.0,75,133,67.8,61.8,1999.9,999.9
19,19,2020-11-01 05:45:00,99.0,142.0,75,175,82.0,74.5,1999.9,885.6
20,20,2020-11-01 06:15:00,111.0,184.0,75,175,101.3,91.3,1999.9,900.5
21,21,2020-11-01 06:45:00,110.0,179.0,84,182,104.5,94.4,1999.9,999.9
22,22,2020-11-01 07:00:00,108.0,170.0,84,182,96.5,86.8,1999.9,999.9
23,23,2020-11-01 07:15:00,96.0,167.0,84,182,84.9,75.6,1999.9,999.9
24,24,2020-11-01 07:30:00,92.0,141.0,84,182,77.4,69.5,1999.9,999.9
25,25,2020-11-01 08:00:00,89.0,134.0,87,187,69.0,62.2,1999.9,999.9
26,26,2020-11-01 08:30:00,92.0,142.5,87,187,73.2,65.6,1999.9,999.9
27,27,2020-11-01 09:00:00,99.0,153.0,72,177,86.8,78.4,1999.9,999.9
28,28,2020-11-01 09:15:00,95.0,141.0,72,177,74.8,67.3,1999.9,999.9
29,29,2020-11-01 09:30:00,77.0,120.0,72,177,56.5,51.2,1999.9,999.9
30,30,2020-11-01 10:00:00,72.0,116.0,72,181,53.6,48.7,1999.9,999.9
31,31,2020-11-01 10:15:00,71.0,114.0,72,181,52.7,47.6,1999.9,999.9
32,32,2020-11-01 10:45:00,71.0,112.0,63,146,52.7,47.5,1999.9,999.9
33,33,2020-11-01 11:15:00,66.0,107.0,63,146,49.4,44.6,1999.9,999.9
34,34,2020-11-01 11:45:00,63.0,107.0,59,133,45.7,41.4,1999.9,999.9
35,35,2020-11-01 12:15:00,62.0,99.0,59,133,42.9,39.1,1999.9,999.9
36,36,2020-11-01 12:30:00,60.0,102.0,59,133,43.6,39.4,1999.9,999.9
37,38,2020-11-01 13:15:00,60.0,94.0,49,111,41.6,38.1,1999.9,999.9
38,39,2020-11-01 13:30:00,62.0,103.0,49,111,43.0,39.1,1999.9,999.9
39,40,2020-11-01 14:00:00,62.0,97.0,59,133,41.9,38.2,1999.9,999.9
40,41,2020-11-01 14:15:00,61.0,97.0,59,133,42.6,38.8,1999.9,999.9
41,42,2020-11-01 14:30:00,60.0,97.0,59,133,41.6,37.7,1999.9,999.9
42,44,2020-11-01 15:15:00,58.0,96.0,53,123,39.3,35.9,1999.9,999.9
43,45,2020-11-01 16:15:00,62.0,97.0,57,123,41.7,37.8,1999.9,999.9
44,46,2020-11-01 16:30:00,61.0,101.0,57,123,40.7,37.0,1999.9,999.9
45,47,2020-11-01 16:45:00,61.0,97.0,59,133,45.0,40.7,1999.9,999.9
46,48,2020-11-01 17:15:00,61.0,103.0,59,133,41.8,37.7,1999.9,999.9
47,49,2020-11-01 17:30:00,64.0,105.0,59,133,44.7,40.6,1999.9,999.9
48,50,2020-11-01 17:45:00,66.0,110.0,66,152,46.6,42.0,1999.9,999.9
49,51,2020-11-01 18:00:00,67.0,111.0,66,152,49.2,44.5,1999.9,999.9
50,52,2020-11-01 18:15:00,67.0,110.0,66,152,49.0,44.4,1999.9,999.9
51,53,2020-11-01 18:45:00,70.0,112.0,71,166,51.6,46.5,1999.9,999.9
52,54,2020-11-01 19:00:00,72.0,120.0,71,166,53.0,47.8,1999.9,999.9
53,55,2020-11-01 19:15:00,77.0,127.0,71,166,62.4,56.3,1999.9,999.9
54,56,2020-11-01 21:15:00,83.0,132.0,74,175,67.1,60.4,1999.9,999.9
55,57,2020-11-01 21:30:00,83.0,127.0,74,175,65.7,59.3,1999.9,999.9
56,58,2020-11-01 21:45:00,84.0,131.0,76,187,66.0,59.4,1999.9,999.9
57,59,2020-11-01 22:15:00,82.0,124.0,76,187,65.6,59.0,1999.9,999.9
58,60,2020-11-01 22:30:00,85.0,128.0,76,187,68.2,61.3,1999.9,999.9
59,61,2020-11-01 22:45:00,83.0,129.0,84,180,66.5,59.8,1999.9,999.9
60,62,2020-11-01 23:00:00,85.0,130.0,84,180,66.1,59.8,1999.9,999.9
61,63,2020-11-01 23:45:00,83.0,127.0,83,169,63.8,57.7,1999.9,999.9
62,64,2020-11-02 00:00:00,83.0,124.0,83,169,64.1,58.0,1999.9,999.9
63,65,2020-11-02 00:15:00,82.0,125.0,83,169,64.3,58.0,1999.9,999.9
64,66,2020-11-02 00:30:00,84.0,130.0,83,169,66.8,60.4,1999.9,999.9
65,67,2020-11-02 00:45:00,86.0,127.0,74,154,62.5,56.6,1999.9,999.9
66,68,2020-11-02 01:00:00,88.0,129.0,74,154,66.9,60.4,1999.9,999.9
67,70,2020-11-02 01:30:00,90.0,132.0,74,154,69.1,61.7,1999.9,999.9
68,71,2020-11-02 01:45:00,91.0,133.0,80,153,71.7,64.7,1999.9,585.4
69,72,2020-11-02 02:00:00,91.0,131.0,80,153,71.3,64.2,1999.9,820.8
70,73,2020-11-02 02:15:00,91.0,129.0,80,153,71.6,64.7,1999.9,999.9
71,74,2020-11-02 02:45:00,94.0,140.0,87,184,75.8,68.3,1999.9,999.9
72,75,2020-11-02 03:00:00,121.0,209.0,87,184,123.4,110.2,1999.9,999.9
73,76,2020-11-02 03:15:00,114.0,191.0,87,184,109.7,98.1,1999.9,999.9
74,77,2020-11-02 03:30:00,121.0,209.0,87,184,118.0,106.0,1999.9,999.9
75,78,2020-11-02 03:45:00,125.0,223.0,80,175,118.7,107.0,1999.9,662.8
76,79,2020-11-02 04:00:00,124.0,213.0,80,175,121.7,109.0,1999.9,766.9
77,80,2020-11-02 04:15:00,124.0,212.0,80,175,123.9,111.6,1999.9,999.9
78,81,2020-11-02 04:30:00,122.0,210.0,80,175,115.1,103.3,1999.9,999.9
79,82,2020-11-02 04:45:00,121.0,201.0,86,172,116.5,104.3,1999.9,999.9
80,83,2020-11-02 05:00:00,125.0,209.0,86,172,115.6,104.5,1999.9,989.4
81,84,2020-11-02 05:15:00,124.0,203.0,86,172,121.5,109.7,1999.9,999.9
82,85,2020-11-02 05:30:00,125.0,204.0,86,172,115.9,105.0,1999.9,890.7
83,86,2020-11-02 05:45:00,125.0,204.0,81,188,114.5,103.8,1999.9,999.9
84,87,2020-11-02 06:00:00,125.0,200.0,81,188,111.3,100.6,1999.9,999.9
85,88,2020-11-02 06:15:00,111.0,206.0,81,188,116.6,105.7,1999.9,999.9
86,89,2020-11-02 06:45:00,124.0,209.0,74,173,115.6,104.4,1999.9,999.9
87,90,2020-11-02 07:00:00,124.0,196.0,74,173,119.0,107.2,1999.9,999.9
88,91,2020-11-02 07:45:00,121.0,188.0,79,187,111.4,101.1,1999.9,999.9
89,92,2020-11-02 08:30:00,103.0,153.0,79,187,97.7,88.4,1999.9,999.9
90,93,2020-11-02 08:45:00,108.0,174.0,72,177,101.8,92.3,1999.9,999.9
91,94,2020-11-02 09:00:00,109.0,171.0,72,177,103.0,93.0,1999.9,999.9
92,95,2020-11-02 09:45:00,84.0,124.0,79,187,63.7,57.9,1999.9,999.9
93,96,2020-11-02 10:00:00,79.0,121.0,79,187,60.8,55.0,1999.9,999.9
94,97,2020-11-02 10:15:00,79.0,120.0,79,187,60.3,54.7,1999.9,999.9
95,98,2020-11-02 10:30:00,77.0,118.0,79,187,59.0,53.3,1999.9,999.9
96,99,2020-11-02 10:45:00,79.0,118.0,74,180,60.7,55.3,1999.9,999.9
97,100,2020-11-02 11:15:00,77.0,112.0,74,180,58.1,52.8,1999.9,999.9
98,101,2020-11-02 11:30:00,72.0,109.0,74,180,52.7,47.7,1999.9,999.9
99,102,2020-11-02 11:45:00,68.0,103.0,69,155,49.4,45.1,1999.9,999.9
100,103,2020-11-02 13:00:00,61.0,93.0,72,134,42.5,38.8,1999.9,999.9
101,104,2020-11-02 13:15:00,60.0,99.0,72,134,41.5,37.8,1999.9,999.9
102,105,2020-11-02 14:30:00,48.0,78.0,55,106,28.4,25.7,1999.9,999.9
103,106,2020-11-02 14:45:00,52.0,90.0,55,99,30.6,27.8,1999.9,999.9
104,107,2020-11-02 15:30:00,55.0,90.0,55,99,32.5,29.5,1999.9,999.9
105,108,2020-11-02 15:45:00,54.0,87.0,62,113,32.4,29.5,1999.9,999.9
106,109,2020-11-02 16:00:00,53.0,86.0,62,113,31.4,28.7,1999.9,999.9
107,110,2020-11-02 16:15:00,53.0,86.0,62,113,31.4,28.9,1999.9,999.9
108,111,2020-11-02 16:30:00,54.0,92.0,62,113,32.5,29.4,1999.9,999.9
109,112,2020-11-02 16:45:00,57.0,92.0,61,125,35.0,31.8,1999.9,999.9
110,113,2020-11-02 17:30:00,62.0,101.0,61,125,42.0,38.0,1999.9,980.3
111,114,2020-11-02 17:45:00,66.0,98.0,71,152,40.8,37.0,1999.9,954.5
112,115,2020-11-02 18:30:00,211.0,114.0,71,152,52.3,47.4,1999.9,850.6
113,116,2020-11-02 19:00:00,84.0,125.0,86,176,59.7,54.0,1999.9,879.1
114,117,2020-11-02 19:15:00,85.0,124.0,86,176,58.8,53.6,1999.9,909.5
115,119,2020-11-02 19:45:00,89.0,127.0,78,177,62.4,56.7,1999.9,910.5
116,120,2020-11-02 20:00:00,88.0,123.0,78,177,61.5,55.6,1999.9,908.8
117,121,2020-11-02 20:30:00,91.0,129.0,78,177,68.2,61.8,1999.9,904.5
118,122,2020-11-02 20:45:00,94.0,130.0,77,184,69.5,63.2,1999.9,880.6
119,123,2020-11-02 21:00:00,92.0,130.0,77,184,70.0,63.2,1999.9,835.3
120,124,2020-11-02 21:30:00,89.0,125.0,77,184,63.9,58.0,1999.9,756.1
121,125,2020-11-02 21:45:00,86.0,124.0,83,180,58.3,53.1,1999.9,880.6
122,126,2020-11-02 22:00:00,83.0,125.0,83,180,58.3,52.9,1999.9,768.5
123,127,2020-11-02 22:15:00,82.0,118.0,83,180,58.0,52.5,1999.9,865.5
124,128,2020-11-02 22:45:00,78.0,119.0,79,166,54.6,49.6,1999.9,817.7
125,129,2020-11-02 23:15:00,81.0,118.0,79,166,54.4,49.4,1999.9,912.2
126,130,2020-11-02 23:30:00,88.0,125.0,79,166,60.2,54.6,1999.9,905.7
127,131,2020-11-02 23:45:00,88.0,122.0,86,178,60.6,54.9,1999.9,908.9
128,132,2020-11-03 00:00:00,91.0,130.0,86,178,60.0,54.3,1999.9,953.7
129,133,2020-11-03 00:15:00,91.0,123.0,86,178,62.3,56.8,1999.9,999.9
130,134,2020-11-03 00:30:00,91.0,126.0,86,178,60.7,55.1,1999.9,959.5
131,135,2020-11-03 01:00:00,92.0,134.0,77,180,63.7,57.8,1999.9,939.5
132,136,2020-11-03 01:15:00,92.0,131.0,77,180,65.6,59.6,1999.9,938.3
133,137,2020-11-03 01:30:00,92.0,130.0,77,180,62.1,56.3,1999.9,949.0
134,139,2020-11-03 02:00:00,91.0,129.0,83,173,64.3,58.4,1999.9,956.1
135,140,2020-11-03 02:15:00,92.0,130.0,83,173,61.9,56.2,1999.9,918.7
136,141,2020-11-03 02:30:00,94.0,128.0,83,173,59.8,54.3,1999.9,957.3
137,142,2020-11-03 02:45:00,95.0,128.0,81,149,67.8,61.7,1999.9,943.0
138,143,2020-11-03 03:00:00,97.0,132.0,81,149,73.5,67.0,1999.9,764.1
139,144,2020-11-03 03:15:00,98.0,135.0,81,149,68.8,62.7,1999.9,805.2
140,145,2020-11-03 03:45:00,102.0,144.0,82,163,80.5,73.3,1999.9,797.5
141,146,2020-11-03 04:00:00,103.0,140.0,82,163,77.4,70.6,1999.9,790.6
142,147,2020-11-03 04:15:00,102.0,137.0,82,163,82.6,75.4,1999.9,771.4
143,148,2020-11-03 04:45:00,99.0,137.0,75,156,81.6,74.2,1999.9,818.9
144,149,2020-11-03 05:00:00,95.0,134.0,75,156,75.1,68.3,1999.9,845.1
145,150,2020-11-03 05:15:00,97.0,134.0,75,156,73.5,67.2,1999.9,801.9
146,151,2020-11-03 05:30:00,99.0,133.0,75,156,80.7,73.7,1999.9,819.7
147,152,2020-11-03 05:45:00,100.0,147.0,86,160,81.2,73.7,1999.9,823.3
148,153,2020-11-03 06:00:00,98.0,135.0,86,160,80.2,73.1,1999.9,864.6
149,154,2020-11-03 06:15:00,116.5,174.0,86,160,99.6,90.9,1999.9,871.9
150,155,2020-11-03 06:45:00,136.0,213.0,85,185,109.4,99.8,1999.9,908.8
151,156,2020-11-03 07:15:00,130.0,204.0,85,185,116.6,106.6,1999.9,885.3
152,157,2020-11-03 07:30:00,130.0,198.0,85,185,117.8,107.6,1999.9,910.1
153,159,2020-11-03 08:00:00,119.0,176.0,79,176,113.8,103.8,1999.9,938.8
154,160,2020-11-03 08:30:00,116.5,179.5,79,176,110.5,100.5,1999.9,972.3
155,161,2020-11-03 08:45:00,115.0,184.0,74,188,114.6,103.8,1999.9,888.5
156,162,2020-11-03 09:15:00,110.0,167.0,74,188,103.7,94.1,1999.9,929.2
157,163,2020-11-03 09:30:00,108.0,168.0,74,188,108.7,98.3,1999.9,789.6
158,164,2020-11-03 09:45:00,94.0,138.0,85,172,81.0,73.4,1999.9,778.6
159,165,2020-11-03 10:15:00,92.0,135.0,85,172,77.1,69.8,1999.9,645.1
160,166,2020-11-03 10:30:00,92.0,138.0,85,172,78.5,71.1,1988.2,591.0
161,167,2020-11-03 10:45:00,92.0,137.0,76,174,72.9,66.0,1999.9,869.1
162,168,2020-11-03 11:00:00,91.0,128.0,76,174,72.7,65.8,1999.9,722.9
163,169,2020-11-03 11:30:00,84.0,116.0,76,174,63.7,58.1,1999.9,739.5
164,170,2020-11-03 11:45:00,86.0,116.0,84,176,63.1,57.6,1999.9,657.9
165,171,2020-11-03 12:00:00,79.0,114.0,84,176,57.8,52.7,1999.9,701.0
166,172,2020-11-03 12:15:00,77.0,110.0,84,176,54.5,49.8,1999.9,727.5
167,173,2020-11-03 12:45:00,74.0,107.0,78,147,52.3,47.6,223.6,203.8
168,174,2020-11-03 14:00:00,77.0,107.0,78,141,52.4,48.1,1121.6,575.3
169,176,2020-11-03 14:30:00,75.0,107.0,78,141,52.9,48.6,1860.3,613.8
170,177,2020-11-03 14:45:00,75.0,108.5,77,154,51.2,46.7,1999.9,787.7
171,179,2020-11-03 15:15:00,77.0,110.0,77,154,53.9,49.2,1999.9,685.6
172,180,2020-11-03 15:30:00,74.0,103.0,77,154,49.6,45.3,265.8,241.0
173,181,2020-11-03 16:00:00,71.0,108.0,81,159,48.9,44.5,178.8,161.0
174,182,2020-11-03 16:30:00,73.0,108.0,81,159,51.3,46.8,171.1,154.6
175,183,2020-11-03 16:45:00,73.0,108.0,77,157,50.1,45.7,159.4,143.2
176,184,2020-11-03 17:00:00,73.0,107.0,77,157,50.4,45.7,195.1,176.3
177,185,2020-11-03 17:15:00,77.0,115.0,77,157,52.6,48.1,176.4,157.6
178,186,2020-11-03 17:30:00,82.0,120.0,77,157,59.5,53.7,198.5,177.8
179,187,2020-11-03 17:45:00,84.0,122.0,85,188,62.7,56.8,190.1,170.1
180,188,2020-11-03 18:15:00,90.0,129.0,85,188,69.2,62.8,231.7,205.8
181,189,2020-11-03 18:30:00,88.0,129.0,85,188,70.0,63.6,209.4,184.4
182,190,2020-11-03 18:45:00,89.0,128.0,75,174,68.0,61.5,212.3,188.9
183,191,2020-11-03 19:00:00,89.0,127.0,75,174,71.5,64.7,226.2,201.9
184,192,2020-11-03 19:15:00,90.0,135.0,75,174,72.3,65.1,223.8,199.5
185,193,2020-11-03 19:30:00,88.0,129.0,75,174,68.8,62.2,268.8,241.1
186,194,2020-11-03 20:00:00,88.0,133.0,87,179,71.7,64.5,328.6,296.2
187,196,2020-11-03 21:00:00,89.0,135.0,76,183,71.5,64.7,250.9,224.9
188,197,2020-11-03 21:30:00,85.0,124.0,76,183,66.7,60.3,208.6,186.0
189,198,2020-11-03 21:45:00,84.0,126.0,87,175,66.1,59.3,239.6,215.3
190,199,2020-11-03 22:45:00,82.0,125.0,78,173,62.6,56.7,188.7,167.9
191,200,2020-11-03 23:00:00,82.0,125.0,78,173,63.8,57.5,193.1,167.4
192,201,2020-11-03 23:15:00,82.0,126.0,78,173,67.6,60.7,225.6,201.9
193,202,2020-11-03 23:30:00,89.0,132.0,78,173,71.0,64.3,218.3,193.8
194,203,2020-11-04 00:00:00,89.0,130.0,86,170,70.3,63.3,240.8,214.7
195,204,2020-11-04 00:15:00,90.0,133.0,86,170,70.0,63.0,236.5,211.5
196,205,2020-11-04 00:30:00,89.0,128.0,86,170,70.6,63.6,253.7,227.6
197,206,2020-11-04 00:45:00,88.0,132.0,85,168,72.8,65.5,274.5,246.7
198,207,2020-11-04 01:00:00,89.0,135.0,85,168,73.8,65.6,264.2,222.8
199,208,2020-11-04 01:15:00,89.0,136.0,85,168,70.6,63.3,275.1,245.7
200,209,2020-11-04 01:30:00,90.0,136.0,85,168,71.1,63.9,297.3,267.9
201,210,2020-11-04 02:00:00,92.0,133.0,84,176,72.6,65.4,366.5,330.3
202,211,2020-11-04 02:15:00,94.0,133.0,84,176,75.5,68.1,1999.9,880.8
203,213,2020-11-04 03:00:00,92.0,132.0,74,158,74.7,67.8,269.2,242.1
204,214,2020-11-04 03:15:00,92.0,133.0,74,158,70.3,63.7,493.9,443.5
205,215,2020-11-04 03:30:00,92.0,132.0,74,158,75.9,69.0,178.2,154.8
206,216,2020-11-04 03:45:00,95.0,135.0,83,153,79.4,72.3,191.4,159.1
207,217,2020-11-04 04:00:00,100.0,149.0,83,153,87.1,79.0,214.3,184.7
208,218,2020-11-04 04:15:00,96.0,139.0,83,153,76.4,69.6,221.4,197.9
209,219,2020-11-04 04:30:00,100.0,145.0,83,153,85.7,77.6,234.7,208.8
210,220,2020-11-04 04:45:00,129.0,226.0,84,182,133.1,119.5,386.3,278.0
211,221,2020-11-04 05:00:00,119.0,188.0,84,182,114.9,103.9,311.8,263.0
212,222,2020-11-04 05:15:00,121.0,194.0,84,182,123.5,111.6,344.2,300.8
213,223,2020-11-04 05:30:00,114.0,180.0,84,182,108.1,98.0,287.1,243.7
214,224,2020-11-04 06:00:00,126.0,206.0,83,178,123.8,112.2,345.0,280.2
215,225,2020-11-04 06:15:00,125.0,199.0,83,178,122.6,111.3,333.3,293.1
216,226,2020-11-04 07:00:00,117.0,197.0,73,187,115.8,104.7,327.9,269.4
217,227,2020-11-04 07:15:00,124.0,205.0,73,187,125.4,113.0,338.7,259.1
218,228,2020-11-04 07:30:00,125.0,208.0,73,187,120.2,108.1,313.9,244.0
219,229,2020-11-04 07:45:00,119.0,194.0,78,181,111.1,100.9,338.4,274.4
220,230,2020-11-04 08:15:00,110.0,179.0,78,181,103.6,93.4,232.3,153.1
221,231,2020-11-04 09:15:00,98.0,154.0,84,180,86.8,78.2,211.1,131.0
222,232,2020-11-04 09:30:00,101.0,164.0,84,180,88.3,79.4,204.8,127.7
223,233,2020-11-04 09:45:00,64.0,109.0,87,174,48.2,43.4,106.4,65.9
224,234,2020-11-04 10:00:00,61.0,102.0,87,174,44.2,39.7,114.5,62.5
225,235,2020-11-04 10:15:00,59.0,102.0,87,174,39.9,35.9,99.0,60.1
226,236,2020-11-04 10:30:00,58.0,103.0,87,174,40.3,36.1,105.1,65.1
227,237,2020-11-04 10:45:00,57.0,98.0,56,162,38.5,34.6,88.2,56.5
228,238,2020-11-04 11:00:00,56.0,99.0,56,162,39.0,35.2,97.7,55.3
229,239,2020-11-04 11:15:00,53.0,96.0,56,162,35.9,32.2,75.6,50.8
230,240,2020-11-04 11:30:00,53.0,94.0,56,162,35.8,32.3,83.8,52.1
231,241,2020-11-04 11:45:00,53.0,92.0,51,136,34.8,31.5,83.2,46.9
232,242,2020-11-04 12:00:00,51.0,91.0,51,136,34.1,30.7,67.9,46.2
233,243,2020-11-04 12:30:00,53.0,90.0,51,136,35.4,32.1,77.3,50.7
234,244,2020-11-04 13:15:00,53.0,86.0,37,118,34.2,30.9,79.5,48.8
235,245,2020-11-04 13:30:00,51.0,87.0,37,118,33.5,30.2,66.3,49.6
236,246,2020-11-04 13:45:00,52.0,87.0,42,106,34.5,31.4,79.7,51.7
237,247,2020-11-04 14:15:00,55.5,92.5,42,106,36.6,33.3,72.9,51.0
238,248,2020-11-04 14:45:00,57.0,101.0,49,120,37.9,34.3,85.5,52.9
239,249,2020-11-04 15:15:00,57.0,99.0,49,120,35.4,31.9,93.5,56.9
240,250,2020-11-04 15:30:00,58.0,97.0,49,120,39.3,35.7,87.6,54.7
241,251,2020-11-04 15:45:00,57.0,94.0,48,125,39.4,35.7,80.2,58.2
242,252,2020-11-04 16:00:00,56.0,96.0,48,125,39.5,35.3,84.2,54.5
243,253,2020-11-04 17:45:00,58.0,99.0,64,174,41.5,37.0,118.8,61.5
244,254,2020-11-04 18:00:00,57.0,99.0,64,174,40.4,36.4,116.4,58.3
245,255,2020-11-04 18:15:00,59.0,106.0,64,174,44.0,39.3,101.4,59.4
246,256,2020-11-04 18:45:00,62.0,111.0,72,166,44.4,39.9,113.3,63.8
247,257,2020-11-04 19:00:00,61.0,104.0,72,166,42.9,38.2,106.6,64.6
248,258,2020-11-04 19:15:00,60.0,110.0,72,166,42.6,38.1,109.4,62.6
249,259,2020-11-04 20:00:00,62.0,114.0,76,175,45.7,40.9,128.7,67.3
250,260,2020-11-04 20:15:00,63.0,113.0,76,175,42.6,38.4,111.6,68.8
251,261,2020-11-04 20:30:00,62.0,111.0,76,175,43.4,38.9,108.7,64.0
252,262,2020-11-04 20:45:00,59.0,105.0,70,163,41.8,37.5,115.6,64.1
253,264,2020-11-04 21:45:00,71.0,122.0,75,161,53.2,47.7,139.1,76.4
254,265,2020-11-04 22:00:00,73.0,123.0,75,161,52.7,47.3,151.2,79.9
255,266,2020-11-04 22:15:00,74.0,123.0,75,161,57.2,51.2,153.2,88.4
256,267,2020-11-04 23:00:00,75.0,124.0,87,185,55.2,49.3,163.1,85.6
257,268,2020-11-04 23:15:00,73.0,128.0,87,185,55.3,49.1,151.2,84.7
258,269,2020-11-04 23:30:00,73.0,125.0,87,185,54.9,48.2,153.6,86.0
259,270,2020-11-05 00:00:00,74.0,130.0,84,183,54.9,48.9,164.6,88.4
260,271,2020-11-05 00:15:00,81.0,134.0,84,183,60.6,54.0,179.6,96.5
261,272,2020-11-05 01:00:00,72.0,125.0,78,184,54.7,48.2,145.3,86.6
262,273,2020-11-05 01:15:00,75.0,127.0,78,184,54.9,48.9,151.1,84.5
263,274,2020-11-05 01:30:00,72.0,122.0,78,184,55.5,47.1,138.1,78.8
264,275,2020-11-05 01:45:00,71.0,116.0,77,156,53.0,46.5,137.6,79.6
265,276,2020-11-05 02:00:00,70.0,117.0,77,156,51.6,46.0,143.4,76.4
266,277,2020-11-05 02:15:00,71.0,120.0,77,156,52.4,46.7,135.2,79.2
267,278,2020-11-05 02:30:00,71.0,117.0,77,156,48.4,43.3,144.8,79.8
268,279,2020-11-05 02:45:00,70.0,123.0,70,140,50.7,44.5,137.9,77.1
269,280,2020-11-05 03:00:00,70.0,120.0,70,140,49.7,44.4,134.3,78.2
270,282,2020-11-05 03:45:00,67.0,114.0,70,124,45.8,40.7,131.0,77.3
271,283,2020-11-05 04:00:00,68.0,119.0,70,124,47.2,42.2,129.3,76.1
272,284,2020-11-05 04:15:00,69.0,116.0,70,124,47.4,40.6,137.1,81.4
273,285,2020-11-05 04:30:00,71.0,123.0,70,124,48.9,43.7,144.1,85.5
274,286,2020-11-05 05:00:00,77.0,125.0,78,155,51.8,46.1,156.2,101.9
275,287,2020-11-05 05:15:00,79.0,125.0,78,155,53.0,47.6,153.3,104.8
276,288,2020-11-05 05:30:00,74.0,125.0,78,155,51.5,46.0,143.8,93.6
277,289,2020-11-05 05:45:00,77.0,125.0,74,169,50.0,44.6,140.9,98.0
278,290,2020-11-05 06:00:00,77.0,121.0,74,169,55.4,49.5,153.8,101.2
279,291,2020-11-05 06:15:00,78.0,125.0,74,169,52.1,46.7,158.4,108.1
280,292,2020-11-05 06:30:00,75.0,120.0,74,169,51.6,46.3,145.5,102.8
281,293,2020-11-05 07:00:00,71.0,118.0,75,154,47.3,42.1,138.7,87.3
282,294,2020-11-05 07:30:00,62.0,109.0,75,154,43.4,38.7,136.5,90.2
283,295,2020-11-05 07:45:00,64.0,110.0,64,160,44.2,39.1,128.9,75.1
284,296,2020-11-05 08:00:00,64.0,116.0,64,160,48.5,39.1,129.2,73.8
285,297,2020-11-05 08:15:00,63.0,112.0,64,160,47.0,38.5,175.2,138.3
286,298,2020-11-05 08:30:00,74.5,129.5,64,160,52.8,47.1,210.1,172.4
287,299,2020-11-05 08:45:00,58.0,107.0,73,183,45.5,35.3,141.0,111.9
288,300,2020-11-05 09:00:00,58.0,109.0,73,183,35.2,31.5,124.2,98.4
289,301,2020-11-05 09:45:00,45.0,85.0,46,116,26.9,24.2,185.8,169.9
290,302,2020-11-05 10:00:00,42.0,78.0,46,116,26.0,23.5,114.3,102.7
291,303,2020-11-05 10:15:00,42.0,84.0,46,116,25.3,22.7,86.0,75.6
292,304,2020-11-05 10:30:00,42.0,85.0,46,116,25.8,23.0,93.7,83.6
293,305,2020-11-05 10:45:00,45.0,88.0,41,97,26.3,23.1,97.1,76.3
294,306,2020-11-05 11:45:00,42.0,80.0,37,99,24.8,22.3,74.1,66.1
295,307,2020-11-05 12:15:00,42.0,81.0,37,99,25.0,22.7,91.4,81.8
296,308,2020-11-05 12:30:00,43.0,81.0,37,99,24.8,22.4,93.4,84.0
297,309,2020-11-05 13:00:00,44.0,82.0,38,97,25.8,23.5,87.3,78.1
298,310,2020-11-05 13:15:00,45.0,82.0,38,97,26.3,23.6,90.2,78.4
299,311,2020-11-05 13:30:00,45.0,83.0,38,97,26.9,24.3,129.4,117.2
300,312,2020-11-05 14:00:00,45.0,83.0,40,99,24.7,22.2,96.2,86.2
301,313,2020-11-05 14:45:00,45.0,83.0,43,90,25.4,23.0,81.8,73.3
302,314,2020-11-05 15:00:00,44.0,80.0,43,90,25.6,23.1,97.1,87.9
303,315,2020-11-05 15:45:00,45.0,82.0,38,99,25.4,23.1,132.2,119.0
304,316,2020-11-05 16:00:00,47.0,84.0,38,99,26.4,23.7,337.6,307.5
